Trial,Total Reward,Steps,Reward Diff %,Steps Diff %
1,9.5,28,0.4283137962,2.092675635
2,20,11,0.9017132552,0.822122571
3,21.5,8,0.9693417493,0.5979073244
4,22,13,0.9918845807,0.9715994021
5,20,12,0.9017132552,0.8968609865
6,19.5,9,0.8791704238,0.6726457399
7,18,16,0.8115419297,1.195814649
8,29,20,1.30748422,1.494768311
9,18,4,0.8115419297,0.2989536622
10,22,6,0.9918845807,0.4484304933
11,22,18,0.9918845807,1.34529148
12,18,6,0.8115419297,0.4484304933
13,19,11,0.8566275924,0.822122571
14,26,9,1.172227232,0.6726457399
15,20,5,0.9017132552,0.3736920777
16,24,15,1.082055906,1.121076233
17,24,13,1.082055906,0.9715994021
18,18,9,0.8115419297,0.6726457399
19,23.5,20,1.059513075,1.494768311
20,29,31,1.30748422,2.316890882
21,29,18,1.30748422,1.34529148
22,22,18,0.9918845807,1.34529148
23,20,11,0.9017132552,0.822122571
24,24,7,1.082055906,0.5231689088
25,26,22,1.172227232,1.644245142
26,23,16,1.036970243,1.195814649
27,22,11,0.9918845807,0.822122571
28,22,12,0.9918845807,0.8968609865
29,24,10,1.082055906,0.7473841555
30,26,17,1.172227232,1.270553064
31,20,10,0.9017132552,0.7473841555
32,23,20,1.036970243,1.494768311
33,23,17,1.036970243,1.270553064
34,23,21,1.036970243,1.569506726
35,22,17,0.9918845807,1.270553064
36,18,6,0.8115419297,0.4484304933
37,18,5,0.8115419297,0.3736920777
38,26,16,1.172227232,1.195814649
39,26,14,1.172227232,1.046337818
40,22,13,0.9918845807,0.9715994021
41,18,11,0.8115419297,0.822122571
42,20,7,0.9017132552,0.5231689088
43,24,8,1.082055906,0.5979073244
44,24,10,1.082055906,0.7473841555
45,24,10,1.082055906,0.7473841555
46,28,13,1.262398557,0.9715994021
47,21,21,0.9467989179,1.569506726
48,18,5,0.8115419297,0.3736920777
49,24,25,1.082055906,1.868460389
50,26,14,1.172227232,1.046337818
,22.18,13.38,,
